	lemma	pos	abs_freq	rel_freq
317	treffen	VVFIN	29	0.0002627216147414004
318	befinden	VVFIN	29	0.0002627216147414004
319	klar	ADJD	29	0.0002627216147414004
320	gehen	VVINF	29	0.0002627216147414004
321	rahmen	VV(FIN)	29	0.0002627216147414004
322	Spd	NE	29	0.0002627216147414004
323	bringen	VVPP	29	0.0002627216147414004
324	Hand	NN	29	0.0002627216147414004
325	zuvor	ADV	29	0.0002627216147414004
326	schnell	ADJD	29	0.0002627216147414004
327	schwer	ADJD	29	0.0002627216147414004
328	März	NE	29	0.0002627216147414004
329	pro	APPR	29	0.0002627216147414004
330	schließlich	ADV	29	0.0002627216147414004
331	geben	VVPP	28	0.00025366224871583486
332	gleich	ADJA	28	0.00025366224871583486
333	s	NN	28	0.00025366224871583486
334	nehmen	VVFIN	28	0.00025366224871583486
335	Einsatz	NN	28	0.00025366224871583486
336	natürlich	ADV	28	0.00025366224871583486
337	lange	ADV	28	0.00025366224871583486
338	mai	NE	28	0.00025366224871583486
339	gemeinsam	ADJD	28	0.00025366224871583486
340	Chance	NN	28	0.00025366224871583486
341	Mann	NN	28	0.00025366224871583486
342	manche	PIAT	28	0.00025366224871583486
343	Usa	NE	28	0.00025366224871583486
344	Wahl	NN	28	0.00025366224871583486
345	Februar	NN	28	0.00025366224871583486
346	verletzen	VVPP	28	0.00025366224871583486
347	September	NN	27	0.00024460288269026936
348	ja	ADV	27	0.00024460288269026936
349	Israel	NE	27	0.00024460288269026936
350	fest	PTKVZ	27	0.00024460288269026936
351	Donnerstag	NN	27	0.00024460288269026936
352	erinnern	VVFIN	27	0.00024460288269026936
353	sofort	ADV	27	0.00024460288269026936
354	demnach	PROAV	27	0.00024460288269026936
355	aufgrund	APPR	27	0.00024460288269026936
356	jeweils	ADV	27	0.00024460288269026936
357	stellen	VVINF	26	0.0002355435166647038
358	die	PRELS	26	0.0002355435166647038
359	darum	PROAV	26	0.0002355435166647038
360	einfach	ADJD	26	0.0002355435166647038
361	weiterhin	ADV	26	0.0002355435166647038
362	Interview	NN	26	0.0002355435166647038
363	Chef	NN	26	0.0002355435166647038
364	fahren	VVFIN	26	0.0002355435166647038
365	Trainer	NN	26	0.0002355435166647038
366	Milliarde	NN	26	0.0002355435166647038
367	schreiben	VVFIN	26	0.0002355435166647038
368	zufolge	APPO	26	0.0002355435166647038
369	lang	ADJD	26	0.0002355435166647038
370	Meter	NN	26	0.0002355435166647038
371	ehemalig	ADJA	26	0.0002355435166647038
372	verschieden	ADJA	26	0.0002355435166647038
373	machen	VVPP	26	0.0002355435166647038
374	genau	ADJD	25	0.00022648415063913828
375	Markus	NE	25	0.00022648415063913828
376	bekommen	VVFIN	25	0.00022648415063913828
377	freuen	VVFIN	25	0.00022648415063913828
378	brauchen	VVFIN	25	0.00022648415063913828
379	Möglichkeit	NN	25	0.00022648415063913828
380	danach	PROAV	25	0.00022648415063913828
381	Regierung	NN	25	0.00022648415063913828
382	Gast	NN	25	0.00022648415063913828
383	Beispiel	NN	25	0.00022648415063913828
384	bekannt	ADJA	25	0.00022648415063913828
