	lemma	pos	abs_freq	rel_freq
436	international	ADJA	91	0.0001855348091845847
437	Gespräch	NN	91	0.0001855348091845847
438	schließlich	ADV	91	0.0001855348091845847
439	hin	PTKVZ	90	0.00018349596512761126
440	tun	VVFIN	90	0.00018349596512761126
441	Verein	NN	90	0.00018349596512761126
442	bislang	ADV	90	0.00018349596512761126
443	möglich	ADJA	89	0.0001814571210706378
444	em	NE	89	0.0001814571210706378
445	dritt	ADJA	89	0.0001814571210706378
446	bekommen	VVINF	89	0.0001814571210706378
447	gemeinsam	ADJA	89	0.0001814571210706378
448	welche	PRELS	89	0.0001814571210706378
449	Wohnung	NN	89	0.0001814571210706378
450	Plan	NN	89	0.0001814571210706378
451	suchen	VVFIN	89	0.0001814571210706378
452	zeigen	VVINF	88	0.00017941827701366432
453	wirklich	ADJD	88	0.00017941827701366432
454	daran	PROAV	88	0.00017941827701366432
455	Hand	NN	88	0.00017941827701366432
456	Dollar	NN	88	0.00017941827701366432
457	art	FM	88	0.00017941827701366432
458	tatsächlich	ADJD	87	0.00017737943295669087
459	legen	VVFIN	87	0.00017737943295669087
460	haus	PTKVZ	87	0.00017737943295669087
461	Fahrer	NN	87	0.00017737943295669087
462	manche	PIAT	87	0.00017737943295669087
463	Chef	NN	87	0.00017737943295669087
464	direkt	ADJD	86	0.00017534058889971741
465	rahmen	VV(FIN)	86	0.00017534058889971741
466	Erfolg	NN	86	0.00017534058889971741
467	x	NE	86	0.00017534058889971741
468	Januar	NN	85	0.00017330174484274396
469	recht	ADJD	85	0.00017330174484274396
470	Ziel	NN	85	0.00017330174484274396
471	Wasser	NN	85	0.00017330174484274396
472	Hamburg	NE	85	0.00017330174484274396
473	sagen	VVINF	85	0.00017330174484274396
474	bringen	VVPP	84	0.0001712629007857705
475	Mutter	NN	84	0.0001712629007857705
476	kurz	ADJA	84	0.0001712629007857705
477	einzig	ADJA	83	0.00016922405672879705
478	tv	NE	83	0.00016922405672879705
479	erstmals	ADV	83	0.00016922405672879705
480	Blick	NN	83	0.00016922405672879705
481	Experte	NN	83	0.00016922405672879705
482	the	FM	83	0.00016922405672879705
483	je	ADV	83	0.00016922405672879705
484	Entwicklung	NN	83	0.00016922405672879705
485	Feuerwehr	NN	82	0.00016718521267182357
486	Information	NN	82	0.00016718521267182357
487	Markt	NN	82	0.00016718521267182357
488	fragen	VVINF	82	0.00016718521267182357
489	kosten	VVINF	82	0.00016718521267182357
490	bekommen	VVFIN	82	0.00016718521267182357
491	schwer	ADJA	82	0.00016718521267182357
492	st	NE	82	0.00016718521267182357
493	obwohl	KOUS	82	0.00016718521267182357
494	Serie	NN	81	0.00016514636861485012
495	Datum	NN	81	0.00016514636861485012
496	warum	PWAV	81	0.00016514636861485012
497	Unterstützung	NN	81	0.00016514636861485012
498	sorgen	VVINF	81	0.00016514636861485012
499	erwarten	VVPP	81	0.00016514636861485012
500	führen	VVINF	81	0.00016514636861485012
501	Gericht	NN	81	0.00016514636861485012
502	Kilometer	NN	81	0.00016514636861485012
503	treten	VVFIN	80	0.00016310752455787666
504	öffentlich	ADJA	80	0.00016310752455787666
505	sozial	ADJA	80	0.00016310752455787666
506	zusammen	PTKVZ	80	0.00016310752455787666
507	besonder	ADJA	79	0.0001610686805009032
508	Tor	NN	79	0.0001610686805009032
509	Anfang	NN	79	0.0001610686805009032
510	Kunde	NN	79	0.0001610686805009032
511	Bürgermeister	NN	79	0.0001610686805009032
512	richtig	ADJD	78	0.00015902983644392976
513	eher	ADV	78	0.00015902983644392976
514	Besucher	NN	78	0.00015902983644392976
515	Haus	NN	78	0.00015902983644392976
516	schreiten	VVFIN	78	0.00015902983644392976
517	tun	VVINF	78	0.00015902983644392976
518	‘	XY	78	0.00015902983644392976
519	bringen	VVINF	78	0.00015902983644392976
520	Lage	NN	78	0.00015902983644392976
521	Schweiz	NE	77	0.0001569909923869563
522	mittlerweile	ADV	77	0.0001569909923869563
523	ex	FM	77	0.0001569909923869563
524	gerne	ADV	77	0.0001569909923869563
525	zuvor	ADV	76	0.00015495214832998282
526	acht	CARD	76	0.00015495214832998282
527	zahlen	VVINF	76	0.00015495214832998282
528	de	NE	76	0.00015495214832998282
529	Krankenhaus	NN	76	0.00015495214832998282
530	Angebot	NN	75	0.00015291330427300937
531	halten	VVINF	75	0.00015291330427300937
532	per	APPR	75	0.00015291330427300937
533	Unfall	NN	75	0.00015291330427300937
534	August	NE	74	0.0001508744602160359
535	zumindest	ADV	74	0.0001508744602160359
536	nehmen	VVINF	74	0.0001508744602160359
537	ki	NE	74	0.0001508744602160359
538	darunter	PROAV	74	0.0001508744602160359
539	ukrainisch	ADJA	73	0.00014883561615906246
540	dagegen	PROAV	73	0.00014883561615906246
541	dennoch	ADV	72	0.000146796772102089
542	Februar	NN	72	0.000146796772102089
543	unbekannt	ADJA	72	0.000146796772102089
544	fdp	FM	72	0.000146796772102089
545	abend	ADV	71	0.00014475792804511555
546	finden	VVPP	71	0.00014475792804511555
547	wissen	VVINF	71	0.00014475792804511555
548	new	FM	71	0.00014475792804511555
549	’	XY	71	0.00014475792804511555
550	ebenso	ADV	71	0.00014475792804511555
551	Gebäude	NN	71	0.00014475792804511555
552	sogenannt	ADJA	71	0.00014475792804511555
553	wert	ADJD	70	0.00014271908398814207
554	China	NE	70	0.00014271908398814207
555	Studie	NN	70	0.00014271908398814207
556	rennen	VVINF	70	0.00014271908398814207
557	Zahl	NN	70	0.00014271908398814207
558	Leistung	NN	70	0.00014271908398814207
559	Buch	NN	70	0.00014271908398814207
560	bald	ADV	70	0.00014271908398814207
561	Tier	NN	70	0.00014271908398814207
562	nutzen	VVINF	69	0.00014068023993116862
563	Aktie	NN	69	0.00014068023993116862
564	gleichzeitig	ADJD	69	0.00014068023993116862
565	%	NN	69	0.00014068023993116862
566	Politik	NN	69	0.00014068023993116862
567	Lösung	NN	69	0.00014068023993116862
568	rot	ADJA	69	0.00014068023993116862
569	israelisch	ADJA	69	0.00014068023993116862
570	Interview	NN	69	0.00014068023993116862
571	bekannt	ADJA	69	0.00014068023993116862
572	mindestens	ADV	68	0.00013864139587419516
573	gewinnen	VVFIN	68	0.00013864139587419516
574	recht	ADJA	68	0.00013864139587419516
575	offen	ADJD	68	0.00013864139587419516
576	Interesse	NN	68	0.00013864139587419516
577	Kritik	NN	68	0.00013864139587419516
578	Hilfe	NN	68	0.00013864139587419516
579	Sicherheit	NN	68	0.00013864139587419516
580	Täter	NN	68	0.00013864139587419516
581	Titel	NN	67	0.0001366025518172217
582	gesamt	ADJA	67	0.0001366025518172217
583	b	NE	67	0.0001366025518172217
584	all	PIAT	67	0.0001366025518172217
585	Partie	NN	67	0.0001366025518172217
586	erhalten	VVFIN	67	0.0001366025518172217
587	Beamte	NNA	67	0.0001366025518172217
588	inzwischen	ADV	67	0.0001366025518172217
589	Frankreich	NE	66	0.00013456370776024826
590	Herausforderung	NN	66	0.00013456370776024826
591	versuchen	VVFIN	66	0.00013456370776024826
592	allein	ADV	66	0.00013456370776024826
593	jährig	ADJ(A)	66	0.00013456370776024826
594	dpa	NE	65	0.0001325248637032748
595	Veranstaltung	NN	65	0.0001325248637032748
596	Politiker	NN	65	0.0001325248637032748
597	dadurch	PROAV	65	0.0001325248637032748
598	Sohn	NN	65	0.0001325248637032748
599	&	KON	65	0.0001325248637032748
600	melden	VVFIN	65	0.0001325248637032748
601	Eltern	NN	65	0.0001325248637032748
602	Führung	NN	65	0.0001325248637032748
603	Höhe	NN	65	0.0001325248637032748
604	Wien	NE	65	0.0001325248637032748
605	geplant	ADJA	65	0.0001325248637032748
606	tragen	VVFIN	64	0.00013048601964630132
607	u	NE	64	0.00013048601964630132
608	Standort	NN	64	0.00013048601964630132
609	Modell	NN	64	0.00013048601964630132
610	erleben	VVFIN	64	0.00013048601964630132
611	betroffen	ADJA	64	0.00013048601964630132
612	schön	ADJA	64	0.00013048601964630132
613	insbesondere	ADV	64	0.00013048601964630132
614	Ermittlung	NN	64	0.00013048601964630132
615	sieben	CARD	63	0.00012844717558932787
616	helfen	VVINF	63	0.00012844717558932787
617	kriegen	VVIMP	63	0.00012844717558932787
618	Musik	NN	62	0.0001264083315323544
619	online	ADJD	62	0.0001264083315323544
620	Gesetz	NN	62	0.0001264083315323544
621	Vergleich	NN	62	0.0001264083315323544
622	Michael	NE	62	0.0001264083315323544
623	weiß	ADJA	62	0.0001264083315323544
